Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Segment_Category
219,The Old Spaghetti Factory,150,2.20%,42,0.00%,Italian/Pizza
220,Taziki's Mediterranean Cafe,149,11.90%,93,6.90%,Ethnic
221,Menchie's Frozen Yogurt,149,-3.10%,416,-2.10%,Frozen Desserts
222,Bruegger's Bagels,148,-4.50%,210,-2.80%,Bakery Cafe
223,Tijuana Flats,147,6.50%,139,2.20%,Mexican
224,Duffy's Sports Grill,144,2.60%,34,0.00%,Sports Bar
225,Eddie V's Prime Seafood,144,8.10%,21,10.50%,Seafood
226,Topgolf,144,14.60%,54,14.90%,Varied Menu
227,Ocean Prime,144,20.20%,16,6.70%,Seafood
228,Pappasito's Cantina,143,2.20%,25,0.00%,Mexican
229,Pollo Campero,143,1.10%,78,-2.50%,Chicken
230,Houlihan's,143,-21.20%,45,-32.80%,Varied Menu
231,Old Country Buffet/HomeTown Buffet,142,-18.80%,49,-24.60%,Family Casual
232,Great American Cookies,142,2.70%,368,2.20%,Snack
233,Nobu,139,9.40%,17,13.30%,Asian
234,BurgerFi,138,3.00%,112,7.70%,Burger
235,Mission BBQ,136,25.00%,90,21.60%,BBQ
236,Walk-On's Sports Bistreaux,133,27.80%,33,37.50%,Sports Bar
237,The Coffee Bean & Tea Leaf,133,-2.10%,282,-0.70%,Coffee Cafe
238,Yogurtland,132,-2.60%,267,-2.20%,Frozen Desserts
239,Daylight Donuts,132,2.20%,415,0.20%,Snack
240,WaBa Grill,132,3.70%,191,0.00%,Asian/Noodle
241,54th Street Restaurant & Drafthouse,131,4.50%,31,6.90%,Varied Menu
242,Biggby Coffee,129,3.80%,240,0.80%,Coffee Cafe
243,Costa Vida Fresh Mexican Grill,129,5.20%,93,2.20%,Mexican
244,L&L Hawaiian Barbecue,129,5.10%,195,3.70%,BBQ
245,Gyu-Kaku,129,18.60%,52,8.30%,Asian
246,Rainforest Cafe,129,-10.40%,18,-5.30%,Varied Menu
247,PDQ,127,-5.50%,56,-11.10%,Chicken
248,Lupe Tortilla,100456,78.00%,25,8.70%,Mexican
249,Cook-Out Restaurant,126,10.10%,270,7.10%,Burger
250,Jollibee,126,15.20%,40,11.10%,Chicken
250,Jollibee,126,15.20%,40,11.10%,Chicken
249,Cook-Out Restaurant,126,10.10%,270,7.10%,Burger
